member_id,first_name,last_name,email,phone,member_type,department,student_id,faculty_id,address_line1,city,state,zip_code,membership_plan
"LM001","John","Smith","john.smith@university.edu","555-0101","Student","Computer Science","CS2024001","","123 Campus Dr","University City","CA","90210","Student Membership"
"LM002","Sarah","Johnson","sarah.johnson@university.edu","555-0102","Faculty","Mathematics","","FAC001","456 Faculty Ave","University City","CA","90210","Faculty Membership"
"LM003","Michael","Brown","mike.brown@university.edu","555-0103","Student","Physics","PH2024002","","789 Dorm Hall","University City","CA","90210","Student Membership"
"LM004","Emily","Davis","emily.davis@university.edu","555-0104","Faculty","English","","FAC002","321 Oak Street","University City","CA","90210","Faculty Membership"
"LM005","Robert","Wilson","rob.wilson@university.edu","555-0105","Staff","Library","","STF001","654 Main St","University City","CA","90210","Staff Membership"
"LM006","Lisa","Anderson","lisa.anderson@university.edu","555-0106","Graduate","Chemistry","GR2024001","","147 Grad Housing","University City","CA","90210","Faculty Membership"
"LM007","David","Martinez","david.martinez@university.edu","555-0107","Student","History","HI2024001","","258 Campus Dr","University City","CA","90210","Student Membership"
"LM008","Jennifer","Taylor","jen.taylor@university.edu","555-0108","Faculty","Biology","","FAC003","369 Faculty Ave","University City","CA","90210","Faculty Membership"
"LM009","James","Thomas","james.thomas@university.edu","555-0109","Student","Engineering","EN2024001","","741 Engineering Quad","University City","CA","90210","Student Membership"
"LM010","Maria","Garcia","maria.garcia@university.edu","555-0110","Staff","Administration","","STF002","852 Admin Building","University City","CA","90210","Staff Membership"
"LM011","Christopher","Lee","chris.lee@university.edu","555-0111","Student","Business","BU2024001","","963 Business Hall","University City","CA","90210","Student Membership"
"LM012","Amanda","White","amanda.white@university.edu","555-0112","Faculty","Psychology","","FAC004","741 Faculty Row","University City","CA","90210","Faculty Membership"
"LM013","Daniel","Harris","dan.harris@university.edu","555-0113","Graduate","Economics","EC2024001","","159 Grad Tower","University City","CA","90210","Faculty Membership"
"LM014","Jessica","Martin","jessica.martin@university.edu","555-0114","Student","Art","AR2024001","","357 Arts Building","University City","CA","90210","Student Membership"
"LM015","Matthew","Thompson","matt.thompson@university.edu","555-0115","Faculty","Sociology","","FAC005","486 Social Sciences","University City","CA","90210","Faculty Membership"
